nome_deputado,sigla_uf,sigla_partido,tipo_despesa,valor_liquido,nome_fornecedor,data_documento,score_anomalia
Aluisio Mendes,MA,REPUBLICANOS,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,110000.0,Adriano L Silva Engenharia Serviços e Comércio,2024-12-13,-0.12025610277269172
Pastor Eurico,PE,PSDB,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,107500.0,PALMARES COMERCIO E SERVIÇO LTDA,2024-12-27,-0.12025610277269172
Marcos Soares,RJ,PSDB,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,110000.0,Supraset Grafica e Editora Ltda,2025-12-29,-0.12025610277269172
Antonio Andrade,TO,PSDB,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,108000.0,MEGA FOCO MARKETING DIREITO EIRELI,2024-10-18,-0.12025610277269172
Professor Alcides,GO,PSDB,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,150960.0,Poligrafica Industria e Comercio Ltda,2024-12-27,-0.11998212766500727
José Rocha,BA,UNIÃO,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,129876.0,Mota Filmes,2024-12-26,-0.11998212766500727
Guilherme Uchoa,PE,PSD,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,148500.0,STAMPA DIGITAL & MIDIA EXTERIOR LTDA,2024-12-30,-0.11998212766500727
Gustinho Ribeiro,SE,PP,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,118350.0,GRAFICA EDITORA J ANDRADE LTDA,2024-12-31,-0.11998212766500727
Arlindo Chinaglia,SP,PT,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,127500.0,"Coruja Inteligência em Serviços, Comércio e Locação LTDA.",2024-12-20,-0.11998212766500727
Sargento Gonçalves,RN,PL,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,149000.0,Maricleydson Costa da Silva,2024-12-27,-0.11998212766500727
Aluisio Mendes,MA,REPUBLICANOS,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,140000.0,Adriano L Silva Engenharia Serviços e Comércio,2025-12-11,-0.11998212766500727
Luiz Carlos Busato,RS,UNIÃO,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,125212.0,VEGA GRAF DIGITAL LTDA,2024-06-25,-0.11998212766500727
Duda Ramos,RR,PODE,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,184428.0,CESAR V. M. SANTANA EIRELI-ME,2024-12-30,-0.11998212766500727
Pr. Marco Feliciano,SP,PL,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,99870.0,STUDIO AB - CRIATIVIDADE VISUAL EIRELI - EPP,2024-12-20,-0.11861364152330267
Dal Barreto,BA,UNIÃO,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,99922.2,IDEIA ATIVA SUPRIMENTOS PARA IMPRESSÃO LTDA ME,2024-12-26,-0.11861364152330267
Pastor Eurico,PE,PSDB,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,99900.0,L.G BEZERRA CAVALCANTI,2025-11-21,-0.11861364152330267
Otoni de Paula,RJ,PSD,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,99680.0,SPEEDGRAF EDITORA LTDA,2024-12-05,-0.11861364152330267
Alex Manente,SP,CIDADANIA,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,102000.0,GWDIAS AGENCIA DE MARKETING DIGITAL LTDA,2025-12-29,-0.11861364152330267
Elcione Barbalho,PA,MDB,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,103200.0,STILO GRAFICA E EDITORA LTDA,2024-11-28,-0.11861364152330267
Acácio Favacho,AP,MDB,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,98350.0,I. RODRUGUES DE ALMEIDA,2024-12-27,-0.11861364152330267
Josivaldo JP,MA,UNIÃO,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,97500.0,.COM EMPREENDIMENTOS LTDA,2024-12-28,-0.11861364152330267
André Janones,MG,REDE,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,95200.0,SEVEN COMUNICAÇÃO INTELIGENTE,2026-02-07,-0.11724746817253295
Marcos Soares,RJ,PSDB,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,96000.0,Supraset Grafica e Editora Ltda,2024-12-27,-0.11724746817253295
Félix Mendonça Júnior,BA,PDT,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,93750.0,CONTRASTE EDITORA E INDUSTRIA GRAFICA,2024-05-20,-0.11670164553791595
Cleber Verde,MA,MDB,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,93000.0,SETE CORES INDÚSTRIA E COMÉRCIO LTDA,2025-12-23,-0.11506639166280397
Cleber Verde,MA,MDB,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,93000.0,SHEKINAH COMUNICACAO E MARKETING LTDA,2024-12-17,-0.11506639166280397
Cleber Verde,MA,MDB,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,93000.0,SHEKINAH COMUNICACAO E MARKETING LTDA,2025-07-03,-0.11506639166280397
Hercílio Coelho Diniz,MG,MDB,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,90000.0,FRAMIN AGENCIA DECOMUNICAÇÃO LTDA,2024-08-02,-0.1137062132922323
Claudio Cajado,BA,PP,PASSAGEM AÉREA - RPA,29187.7,Latam Linhas Aéreas S.A,2024-12-12,-0.11343445359259197
Fausto Jr.,AM,UNIÃO,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,30000.0,ON LINE PUBLICIDADE E IMPRESSÃO LTDA,2025-01-29,-0.11289120991891566
Fausto Jr.,AM,UNIÃO,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,30000.0,ON LINE PUBLICIDADE E IMPRESSÃO LTDA,2025-03-05,-0.11289120991891566
Gustinho Ribeiro,SE,PP,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,87300.0,Austregesilo Junior Aragão Melo,2024-03-25,-0.11261972588270963
AJ Albuquerque,CE,PP,"HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",24432.5,TAP,2024-11-09,-0.11261972588270963
José Rocha,BA,UNIÃO,"HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",24508.8,TAP,2024-11-10,-0.11261972588270963
Soraya Santos,RJ,PL,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,85000.0,GRAFICA E EDITORA QUALYTA LTDA - ME,2025-01-15,-0.11072190700916451
Amanda Gentil,MA,PP,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,82000.1,INDUSTRIA GRAFICA E EDITORA SAO PAULO LTDA,2025-12-19,-0.10747894071387898
Luiz Carlos Busato,RS,UNIÃO,"HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",18469.0,Viapara Hoteis e Turismo Ltda,2024-10-17,-0.10636092102708972
Stefano Aguiar,MG,PSD,"HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",19069.4,TAP,2024-07-18,-0.10582246159008935
Guilherme Uchoa,PE,PSD,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,80000.0,IMPACTO COMUNICAÇÃO E MARKETING LTDA ME,2025-12-23,-0.10532426547055229
Joaquim Passarinho,PA,PL,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,78000.0,G. COUTINHO DE MENEZES,2025-12-17,-0.10532426547055229
